company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
AVSC Holding Corp.,co_852bdbc9a0a0,First Lien,,8%,0.3%,SOFR,3.25%,,,4818,4530,4615,0.4%,4530,,,,BBDC,2023-05-04
AVSC Holding Corp.,co_852bdbc9a0a0,First Lien,,9.3%,1%,SOFR,4.5%,,,748,705,724,0.1%,705,,,,BBDC,2023-05-04
AVSC Holding Corp.,co_852bdbc9a0a0,First Lien,,5%,10%,,,,,5794,5710,6040,0.5%,5710,,,,BBDC,2023-05-04
Azalea Buyer Inc.,co_d11d61266148,First Lien,,10.1%,,SOFR,5.25%,,,4548,4460,4487,0.4%,4460,,,,BBDC,2023-05-04
Azalea Buyer Inc.,co_d11d61266148,Revolver,,10.1%,,SOFR,5.25%,,,0,-8,-5,0%,-8,,,,BBDC,2023-05-04
Azalea Buyer Inc.,co_d11d61266148,Subordinated Debt,,,12%,,,,,1474,1453,1448,0.1%,1453,,,,BBDC,2023-05-04
Azalea Buyer Inc.,co_d11d61266148,Common Equity,,,,,,,,,192,172,0%,192,,,,BBDC,2023-05-04
Bariacum S.A Consumer Products,co_e71b939288e8,First Lien,Consumer & Retail,7.8%,,SOFR,5%,,,6193,6271,6127,0.5%,6271,,,,BBDC,2023-05-04
Benify (Bennevis AB) High Tech Industries,co_70fa46a4129b,First Lien,Software & Technology,8.5%,,SOFR,5.25%,,,1065,1162,1065,0.1%,1162,,,,BBDC,2023-05-04
Beyond Risk Management Inc.,co_1c1c99fdbd85,First Lien,Business Services,9.3%,,SOFR,4.5%,,,2545,2502,2495,0.2%,2502,,,,BBDC,2023-05-04
Bidwax Non-durable Consumer Goods,co_54ef6ac2c9eb,First Lien,Consumer & Retail,8.6%,,SOFR,6.5%,,,7605,8095,7445,0.6%,8095,,,,BBDC,2023-05-04
BigHand UK Bidco Limited High Tech Industries,co_09ff99d87c2a,First Lien,Software & Technology,10.3%,,SOFR,5.75%,,,2532,2479,2504,0.2%,2479,,,,BBDC,2023-05-04
BigHand UK Bidco Limited High Tech Industries,co_09ff99d87c2a,First Lien,Software & Technology,9.9%,,SOFR,5.75%,,,830,894,820,0.1%,894,,,,BBDC,2023-05-04
Biolam Group Consumer Non-cyclical,co_d3ccb1a332be,First Lien,Consumer & Retail,9.1%,,SOFR,6.25%,,,3930,3660,3732,0.3%,3660,,,,BBDC,2023-05-04
