company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,data_quality_flags,ticker,filing_date
Vital Buyer LLC,co_95541e618f7f,First Lien,,10.5%,,SOFR,5.5%,,,7605,7486,7377,0.6%,7486,,,,BBDC,2023-05-04
Vital Buyer LLC,co_95541e618f7f,Other Equity,,,,,,,,,164,310,0%,164,,,,BBDC,2023-05-04
VOYA CLO 2015-2 LTD.,co_947671db91ed,Subordinated Debt,,,,,,,,10736,2583,73,0%,2583,,,fair_value_suspicious_vs_size,BBDC,2023-05-04
VOYA CLO 2016-2 LTD.,co_947671db91ed,Subordinated Debt,,,,,,,,11088,3242,1085,0.1%,3242,,,,BBDC,2023-05-04
W2O Holdings Inc.,co_632f367fcdf6,First Lien,,10.2%,,SOFR,5.25%,,,5947,5934,5769,0.5%,5934,,,,BBDC,2023-05-04
Walker Edison Furniture Company LLC,co_55d1269fe5b2,Common Equity,,,,,,,,,3598,0,0%,3598,,,,BBDC,2023-05-04
Watermill-QMC Midco Inc.,co_1e734dc4450b,Partnership Interest,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Wawona Delaware Holdings LLC,co_e6bdbb408c1a,First Lien,,,,SOFR,4.75%,,,45,41,30,0%,41,,,,BBDC,2023-05-04
Wheels Up Experience Inc.,co_d305f1b3908a,First Lien,,12%,,,,,,13162,12660,12967,1.1%,12660,,,,BBDC,2023-05-04
Whitcraft Holdings Inc.,co_0500de7a5e04,First Lien,,11.9%,,SOFR,7%,,,12677,12177,12170,1%,12177,,,,BBDC,2023-05-04
Whitcraft Holdings Inc.,co_0500de7a5e04,Revolver,,11.9%,,SOFR,7%,,,0,-74,-75,0%,-74,,,,BBDC,2023-05-04
Whitcraft Holdings Inc.,co_0500de7a5e04,Other Equity,,,,,,,,,631,631,0.1%,631,,,,BBDC,2023-05-04
Wok Holdings Inc.,co_874b52ce7ff1,First Lien,,11.3%,,SOFR,6.5%,,,48,48,43,0%,48,,,,BBDC,2023-05-04
Woodland Foods LLC,co_42dae51a16ec,First Lien,Food & Beverage,10.9%,,SOFR,5.75%,,,5428,5340,4880,0.4%,5340,,,,BBDC,2023-05-04
Woodland Foods LLC,co_42dae51a16ec,Revolver,Food & Beverage,10.9%,,SOFR,5.75%,,,1786,1750,1560,0.1%,1750,,,,BBDC,2023-05-04
Woodland Foods LLC,co_42dae51a16ec,Common Equity,Food & Beverage,,,,,,,,1663,994,0.1%,1663,,,,BBDC,2023-05-04
World 50 Inc.,co_857901007462,First Lien,,9.6%,,SOFR,4.75%,,,8894,8781,8813,0.7%,8781,,,,BBDC,2023-05-04
World 50 Inc.,co_857901007462,First Lien,,10.1%,,SOFR,5.25%,,,2462,2420,2428,0.2%,2420,,,,BBDC,2023-05-04
WWEC Holdings III Corp.,co_eae50d6e6f13,First Lien,,10.8%,,SOFR,6%,,,14338,13939,13974,1.2%,13939,,,,BBDC,2023-05-04
WWEC Holdings III Corp.,co_eae50d6e6f13,Revolver,,10.8%,,SOFR,6%,,,1118,1062,1066,0.1%,1062,,,,BBDC,2023-05-04
Xeinadin Bidco Limited Financial Other,co_e9b0bcd48b6c,First Lien,Financial Services,9.2%,,SOFR,5.25%,,,5804,5620,5619,0.5%,5620,,,,BBDC,2023-05-04
Xeinadin Bidco Limited Financial Other,co_e9b0bcd48b6c,Subordinated Debt,Financial Services,,11%,,,,,2963,2873,2891,0.2%,2873,,,,BBDC,2023-05-04
Xeinadin Bidco Limited Financial Other,co_e9b0bcd48b6c,Common Equity,Financial Services,,,,,,,,565,565,0%,565,,,,BBDC,2023-05-04
ZB Holdco LLC,co_752d5f62d756,First Lien,,9.9%,,SOFR,4.75%,,,4030,3974,3980,0.3%,3974,,,,BBDC,2023-05-04
ZB Holdco LLC,co_752d5f62d756,Revolver,,9.9%,,SOFR,4.75%,,,0,-14,-11,0%,-14,,,,BBDC,2023-05-04
ZB Holdco LLC,co_752d5f62d756,Other Equity,,,,,,,,,153,198,0%,153,,,,BBDC,2023-05-04
Zeppelin Bidco Limited Services: Business,co_a2a483030472,First Lien,Business Services,10.4%,,SOFR,6.25%,,,5983,6160,5614,0.5%,6160,,,,BBDC,2023-05-04
1888 Industrial Services LLC,co_c8288f1a1c65,First Lien,Industrials,,,SOFR,5%,,,4372,419,0,0%,419,,,,BBDC,2023-05-04
1888 Industrial Services LLC,co_c8288f1a1c65,Revolver,Industrials,,,SOFR,5%,,,1621,1498,1104,0.1%,1498,,,,BBDC,2023-05-04
1888 Industrial Services LLC,co_c8288f1a1c65,Warrants,Industrials,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Eclipse Business Capital LLC,co_c0f84326c836,Revolver,,,,SOFR,7.25%,,,4364,4260,4364,0.4%,4260,,,,BBDC,2023-05-04
Eclipse Business Capital LLC,co_c0f84326c836,Second Lien,,7.5%,,,,,,4545,4509,4545,0.4%,4509,,,,BBDC,2023-05-04
Eclipse Business Capital LLC,co_c0f84326c836,Other Equity,,,,,,,,,93230,143116,11.9%,93230,,,,BBDC,2023-05-04
Hylan Datacom & Electrical LLC,co_58fb03895e96,First Lien,Industrials,12.8%,,SOFR,8%,,,3917,3689,3917,0.3%,3689,,,,BBDC,2023-05-04
Hylan Datacom & Electrical LLC,co_58fb03895e96,Second Lien,Industrials,14.8%,,SOFR,10%,,,4239,4239,4239,0.4%,4239,,,,BBDC,2023-05-04
Hylan Datacom & Electrical LLC,co_58fb03895e96,Common Equity,Industrials,,,,,,,,5219,4551,0.4%,5219,,,,BBDC,2023-05-04
Jocassee Partners LLC,co_72727be52cb1,Other Equity,,,,,,,,,35158,40930,3.4%,35158,,,,BBDC,2023-05-04
Kemmerer Operations LLC,co_84ebe4c19813,First Lien,,,15%,,,,,1715,1715,1715,0.1%,1715,,,,BBDC,2023-05-04
Kemmerer Operations LLC,co_84ebe4c19813,Common Equity,,,,,,,,,1589,1793,0.1%,1589,,,,BBDC,2023-05-04
Rocade Holdings LLC,co_6c414428ee6f,Preferred Equity,,,6%,,,,,,45000,45000,3.7%,45000,,,,BBDC,2023-05-04
Rocade Holdings LLC,co_6c414428ee6f,Other Equity,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
Sierra Senior Loan Strategy JV I LLC,co_81fc2feeae65,Other Equity,,,,,,,,,50221,39814,3.3%,50221,,,,BBDC,2023-05-04
Thompson Rivers LLC,co_286aa5416654,Other Equity,,,,,,,,,37515,22024,1.8%,37515,,,,BBDC,2023-05-04
Waccamaw River LLC,co_9e532193ac78,Other Equity,,,,,,,,,22520,19021,1.6%,22520,,,,BBDC,2023-05-04
Black Angus Steakhouses LLC,co_24b837d347d9,First Lien,,14.2%,,SOFR,9.1%,,,5647,5647,5647,0.5%,5647,,,,BBDC,2023-05-04
Black Angus Steakhouses LLC,co_24b837d347d9,First Lien,,,10%,,,,,26692,9628,8808,0.7%,9628,,,,BBDC,2023-05-04
Black Angus Steakhouses LLC,co_24b837d347d9,Other Equity,,,,,,,,,0,0,0%,0,,,,BBDC,2023-05-04
MVC Automotive Group Gmbh Automotive,co_74567b5c6ff8,First Lien,Automotive,4.5%,1.5%,,,,,7149,7149,7149,0.6%,7149,,,,BBDC,2023-05-04
MVC Automotive Group Gmbh Automotive,co_74567b5c6ff8,Common Equity,Automotive,,,,,,,,9553,13011,1.1%,9553,,,,BBDC,2023-05-04
MVC Private Equity Fund LP,co_68789b72167e,Partnership Interest,Financial Services,,,,,,,,225,42,0%,225,,,,BBDC,2023-05-04
MVC Private Equity Fund LP,co_68789b72167e,Partnership Interest,Financial Services,,,,,,,,8899,1677,0.1%,8899,,,,BBDC,2023-05-04
Security Holdings B.V. Electrical Engineering,co_3cb0f471816e,First Lien,Industrials,,5%,,,,,6020,6020,6020,0.5%,6020,,,,BBDC,2023-05-04
Security Holdings B.V. Electrical Engineering,co_3cb0f471816e,Subordinated Debt,Industrials,,3.1%,,,,,10680,10680,10680,0.9%,10680,,,,BBDC,2023-05-04
Security Holdings B.V. Electrical Engineering,co_3cb0f471816e,Unsecured Debt,Industrials,6%,9%,,,,,2052,2164,2052,0.2%,2164,,,,BBDC,2023-05-04
Security Holdings B.V. Electrical Engineering,co_3cb0f471816e,Common Equity,Industrials,,,,,,,,560,467,0%,560,,,,BBDC,2023-05-04
Security Holdings B.V. Electrical Engineering,co_3cb0f471816e,Common Equity,Industrials,,,,,,,,35192,43652,3.6%,35192,,,,BBDC,2023-05-04
1888 Industrial Services LLC,co_c8288f1a1c65,First Lien,Energy,,,SOFR,5%,,5/23,,,0,,,,,,BBDC,2023-05-04
1888 Industrial Services LLC,co_c8288f1a1c65,Revolver,Energy,,,SOFR,5%,,5/23,,,1104,,,,,,BBDC,2023-05-04
Eclipse Business Capital LLC,co_c0f84326c836,Revolver,Insurance,,,SOFR,7.25%,,7/28,,,4364,,,18364,,,BBDC,2023-05-04
Eclipse Business Capital LLC,co_c0f84326c836,Second Lien,Insurance,7.5%,,,,,7/28,,,4545,,,,,,BBDC,2023-05-04
Hylan Datacom & Electrical LLC,co_58fb03895e96,First Lien,Industrials,12.8%,,SOFR,8%,,3/26,,,3917,,,,,,BBDC,2023-05-04
Hylan Datacom & Electrical LLC,co_58fb03895e96,First Lien,Industrials,14.8%,,,,,3/26,,,4239,,,,,,BBDC,2023-05-04
Kemmerer Operations LLC,co_84ebe4c19813,First Lien,Chemicals & Materials,,15%,,,,6/25,,,1715,,,,,,BBDC,2023-05-04
Black Angus Steakhouses LLC,co_24b837d347d9,First Lien,Healthcare,13.5%,,,,,1/24,,,5647,,,,,,BBDC,2023-05-04
Black Angus Steakhouses LLC,co_24b837d347d9,First Lien,Healthcare,,10%,,,,,,,8808,,,,,,BBDC,2023-05-04
MVC Automotive Group GmbH,co_ca053f19c8be,First Lien,Automotive,4.5%,1.5%,,,,12/24,,,7149,,,,,,BBDC,2023-05-04
Security Holdings B.V,co_0a1f788b053d,First Lien,,,5%,,,,,,,6020,,,,,,BBDC,2023-05-04
Security Holdings B.V,co_0a1f788b053d,Subordinated Debt,,,3.1%,,,,,,,10680,,,,,,BBDC,2023-05-04
Security Holdings B.V,co_0a1f788b053d,Unsecured Debt,,6%,9%,,,,,,,2052,,,,,,BBDC,2023-05-04
Thompsonn Rivers LLC,co_02955eb37b0e,Other,,,,,,,,,,,,,0,,,BBDC,2023-05-04
Waccamaw River LLC,co_9e532193ac78,Other,,,,,,,,,,,,,,,,BBDC,2023-05-04
Sierra Senior Loan Strategy JV LLC,co_81fc2feeae65,Other,,,,,,,,,,,,,,,,BBDC,2023-05-04
Eclipse Business Capital Holdings LLC,co_28c8c217ab9f,Revolver,Insurance,,,,,,7/28,,,4400,,,,,,BBDC,2023-05-04
Gusto Aus BidCo Pty Ltd.,co_3f98dd2eefb4,Delayed Draw,Consumer & Retail,,,,,,10/28,,,,,,220000,,,BBDC,2023-05-04
Jaguar Merger Sub Inc.,co_eddc2fc1496f,Delayed Draw,Financial Services,,,,,,9/24,,,,,,0,,,BBDC,2023-05-04
Jaguar Merger Sub Inc.,co_eddc2fc1496f,Revolver,Financial Services,,,,,,9/24,,,,,,0,,,BBDC,2023-05-04
Kemmerer Operations LLC,co_84ebe4c19813,Delayed Draw,Chemicals & Materials,,,,,,,,,,,,0,,,BBDC,2023-05-04
Modern Star Holdings Bidco Pty Ltd.,co_f4b152677273,First Lien,Consumer & Retail,,,,,,12/26,,,,,,956000,,,BBDC,2023-05-04
NPM Investments 28 BV,co_2472f5f974e9,Delayed Draw,Healthcare,,,,,,10/29,,,,,,471000,,,BBDC,2023-05-04
Smile Brands Group Inc.,co_eecf07126d49,Delayed Draw,Healthcare,,,,,,10/25,,,,,,0,,,BBDC,2023-05-04
Waccamaw River Joint Venture,co_a7185078fb14,Other,,,,,,,,,,,,,2480000,,,BBDC,2023-05-04
