company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Oil Gas and Consumable Fuels TRP Assets LLC,First Lien,Energy,13%,,SOFR,7.76%,,2021-12-03,,,60583,62633,4.3%,60583,,,,,,TSLX,2023-08-03
Consumable Fuels,First Lien,Energy,,,,,,,,,120064,123354,8.4%,120064,,,,,,TSLX,2023-08-03
Other Omnigo Software LLC,First Lien,Software & Technology,11.7%,,SOFR,6.60%,,2021-03-31,,,39545,39746,2.7%,39545,,,,,,TSLX,2023-08-03
99 Cents Only Stores LLC,First Lien,Consumer & Retail,13.89%,,SOFR,8.65%,,,,,24824,25000,1.7%,24824,,,,,,TSLX,2023-08-03
American Achievement Corp.,First Lien,Consumer & Retail,11.42%,10.93%,LIBOR,6.25%,,2015-09-30,,,26300,19195,1.3%,26300,,,,,,TSLX,2023-08-03
American Achievement Corp.,First Lien,Consumer & Retail,19.18%,18.68%,LIBOR,14.00%,,2021-06-10,,,1357,71,0%,1357,,,,,,TSLX,2023-08-03
American Achievement Corp.,First Lien,Consumer & Retail,,6.54%,,,,,,,545,71,0%,545,,,,,,TSLX,2023-08-03
Bed Bath,First Lien,Consumer & Retail,15.16%,,SOFR,9.90%,,,,,25254,25237,1.7%,25254,,,,,,TSLX,2023-08-03
Bed Bath,First Lien,Consumer & Retail,12.99%,12.99%,SOFR,7.90%,,,,,28010,27706,1.9%,28010,,,,,,TSLX,2023-08-03
Bed Bath,First Lien,Consumer & Retail,12.99%,,SOFR,7.90%,,,,,5567,5467,0.4%,5567,,,,,,TSLX,2023-08-03
Cordance Operations LLC,First Lien,Consumer & Retail,14.16%,,SOFR,9.25%,,2022-07-25,,,41829,42382,2.9%,41829,,,,,,TSLX,2023-08-03
