company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Dye & Durham,co_62616afd05d7,Other Equity,Business Services,,,,,,2021-12-03,,,3909,1823,0.1%,3909,,,,126968,,TSLX,2024-02-15
Mitnick TA Aggregator,co_5fedd472e54b,Other Equity,Business Services,,,,,,2022-05-02,,,5243,4496,0.3%,5243,,,,,,TSLX,2024-02-15
ReliaQuest LLC,co_f7a31ef619b4,Other Equity,Business Services,,,,,,2021-11-23,,,1120,1414,0.1%,1120,,,,637713,,TSLX,2024-02-15
ReliaQuest,co_f7a31ef619b4,Other Equity,Business Services,,,,,,2022-06-21,,,6,8,0%,6,,,,2989,,TSLX,2024-02-15
ReliaQuest LLC,co_f7a31ef619b4,Other Equity,Business Services,,,,,,2023-11-10,,,36,46,0%,36,,,,16957,,TSLX,2024-02-15
ReliaQuest,co_f7a31ef619b4,Preferred Equity,Business Services,,,,,,2023-12-20,,,1502,1504,0.1%,1502,,,,1667,,TSLX,2024-02-15
ReliaQuest LLC,co_f7a31ef619b4,Warrants,Business Services,,,,,,2023-12-20,,,102,102,0%,102,,,,90634,,TSLX,2024-02-15
Sprinklr,co_469459c54f71,Other Equity,Business Services,,,,,,2021-06-24,,,2716,3793,0.3%,2716,,,,315005,,TSLX,2024-02-15
Warrior TopCo LP,co_d715cae8230d,Other Equity,Business Services,,,,,,2023-07-07,,,424,424,0%,424,,,,423728,,TSLX,2024-02-15
Celtra Technologies Inc.,co_66517eeb0dda,Other Equity,Telecommunications,,,,,,2021-11-19,,,1250,1250,0.1%,1250,,,,1250000,,TSLX,2024-02-15
IntelePeer Holdings Inc.,co_d92e3412701e,Other Equity,Telecommunications,,,,,,2021-04-08,,,1816,1957,0.1%,1816,,,,1816295,,TSLX,2024-02-15
IntelePeer Holdings Inc.,co_d92e3412701e,Other Equity,Telecommunications,,,,,,2021-04-08,,,2925,2099,0.1%,2925,,,,1598874,,TSLX,2024-02-15
Communications IntelePeer Holdings Inc.,co_e59a0df42a1c,Warrants,,,,,,,2020-02-28,,,183,,0%,183,,,,280000,,TSLX,2024-02-15
Astra 2L Holdings II LLC,co_6230810fd386,Other,Education,,,,,,2022-01-13,,,3255,309,0%,3255,,,,,,TSLX,2024-02-15
EMS Linq Inc.,co_364aa1185c09,Other Equity,Education,,,,,,2021-12-22,,,5522,4762,0.4%,5522,,,,5522526,,TSLX,2024-02-15
RMCF IV CIV XXXV LP.,co_99f5ab76ef58,Other Equity,Education,,,,,,2021-06-08,,,1000,1455,0.1%,1000,,,,,,TSLX,2024-02-15
AF Eagle Parent,co_19e922ca0e68,Other Equity,Financial Services,,,,,,2023-11-27,,,4091,4091,0.3%,4091,,,,121329,,TSLX,2024-02-15
CLGF Holdco 2 LLC,co_15dabfacda6d,Warrants,Financial Services,,,,,,2023-11-07,,,183,183,0%,183,,,,334682,,TSLX,2024-02-15
Newport Parent Holdings LP.,co_7f01f1d768b9,Other Equity,Financial Services,,,,,,2020-12-10,,,4177,11591,0.8%,4177,,,,131569,,TSLX,2024-02-15
Oxford Square Capital Corp.,co_2ec4d9e91b34,Other Equity,Financial Services,,,,,,2015-08-05,,,6,5,0%,6,,,,1620,,TSLX,2024-02-15
Passport Labs Inc.,co_19e3f5ef24c1,Warrants,Financial Services,,,,,,2021-04-28,,,192,,0%,192,,,,17534,,TSLX,2024-02-15
TradingScreen Inc.,co_bcd1d87d1739,Other Equity,Financial Services,,,,,,2021-05-14,,,600,600,0%,600,,,,600000,,TSLX,2024-02-15
Caris Life Sciences Inc.,co_11093020ff8b,Other Equity,Healthcare,,,,,,2020-10-13,,,3500,6676,0.4%,3500,,,,1915114,,TSLX,2024-02-15
Caris Life Sciences Inc.,co_11093020ff8b,Other Equity,Healthcare,,,,,,2021-05-11,,,10050,9899,0.7%,10050,,,,1240740,,TSLX,2024-02-15
Caris Life Sciences Inc.,co_11093020ff8b,Warrants,Healthcare,,,,,,2018-09-21,,,192,1187,0.1%,192,,,,633376,,TSLX,2024-02-15
Caris Life Sciences Inc.,co_11093020ff8b,Warrants,Healthcare,,,,,,2020-04-02,,,250,885,0.1%,250,,,,569991,,TSLX,2024-02-15
Merative Topco LP. 989691,co_6877e657f236,Other Equity,Healthcare,,,,,,2022-06-30,,,9897,9600,0.6%,9897,,,,989691,,TSLX,2024-02-15
Raptor US Buyer II Corp.,co_fe427d263088,Other Equity,Healthcare,,,,,,2023-03-24,,,2033,2033,0.1%,2033,,,,20268,,TSLX,2024-02-15
Hotel Gaming and Leisure IRGSE Holding Corp.,co_debf032fd96e,Other Equity,Healthcare,,,,,,2018-12-21,,,21842,2281,0.2%,21842,,,,33790171,,TSLX,2024-02-15
Hotel Gaming and Leisure,co_a19f57c9cd4d,Other,Healthcare,,,,,,,,,21942,2324,0.2%,21942,,,,,,TSLX,2024-02-15
Axonify Inc.,co_097cff3d7bc7,Other Equity,Business Services,,,,,,2021-05-05,,,3780,4026,0.3%,3780,,,,3780000,,TSLX,2024-02-15
bswift LLC,co_a01d1078b903,Other Equity,Business Services,,,,,,2022-11-07,,,2394,2394,0.2%,2394,,,,2393509,,TSLX,2024-02-15
DaySmart Holdings LLC,co_9326574d7278,Other Equity,Business Services,,,,,,2020-12-18,,,1347,2138,0.1%,1347,,,,166811,,TSLX,2024-02-15
Employment Hero Holdings Pty Ltd.,co_3af31feb4fcf,Other Equity,Business Services,,,,,,2022-03-01,,,2134,3817,0.2%,2134,,,,113250,,TSLX,2024-02-15
Human Resource Support Services,co_d8cbade7c7be,Other,Business Services,,,,,,,,,9655,11163,0.8%,9655,,,,,,TSLX,2024-02-15
Bayshore Intermediate #2,co_58e933a523c1,Common Equity,Software & Technology,,,,,,2021-10-01,,,8837,8461,0.5%,8837,,,,8837008,,TSLX,2024-02-15
Bayshore Intermediate #2,co_58e933a523c1,Common Equity,Software & Technology,,,,,,2021-10-01,,,3494,3345,0.2%,3494,,,,3493701,,TSLX,2024-02-15
Lucidworks Inc.,co_370f5a68f8c1,Other Equity,Software & Technology,,,,,,2019-08-02,,,800,800,0.1%,800,,,,199054,,TSLX,2024-02-15
Piano Software Inc.,co_135c34096c85,Other Equity,Software & Technology,,,,,,2021-12-22,,,3000,3000,0.2%,3000,,,,418527,,TSLX,2024-02-15
Piano Software Inc.,co_135c34096c85,Other Equity,Software & Technology,,,,,,2022-11-18,,,198,198,0%,198,,,,27588,,TSLX,2024-02-15
SMA Technologies Holdings LLC,co_e3c0b3e538af,Other Equity,Software & Technology,,,,,,2022-11-21,,,1300,1300,0.1%,1300,,,,1300,,TSLX,2024-02-15
