company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Adapt Laser Acquisition Inc.,First Lien,Other,9.00%,,LIBOR,800,2023-12-31,,2000,2000,,,,,,CION,2020-11-16
Aegis Toxicology Sciences Corp.,First Lien,Pharmaceuticals & Biotechnology,6.50%,,LIBOR,550,2025-05-09,,9800,9654,,,,,,CION,2020-11-16
AIS Holdco LLC,First Lien,Financial Services,5.00%,,LIBOR,500,2025-08-15,,5278,5227,,,,,,CION,2020-11-16
Alchemy US Holdco 1 LLC,First Lien,Construction & Engineering,5.50%,,LIBOR,5.50%,2025-10-10,,13044,12905,,,,,,CION,2020-11-16
Allen Media LLC,First Lien,Media & Entertainment,6.50%,,LIBOR,550,2027-02-10,,24871,24871,,,,,,CION,2020-11-16
ALM Media LLC,First Lien,Media & Entertainment,7.50%,,LIBOR,650,2024-11-25,,19250,18921,,,,,,CION,2020-11-16
AMCP Staffing Intermediate Holdings III LLC,First Lien,Business Services,7.75%,,LIBOR,675,2025-09-24,,9925,9874,,,,,,CION,2020-11-16
AMCP Staffing Intermediate Holdings III LLC,Unfunded Commitment,Business Services,,,,,,,,,,,,,,CION,2020-11-16
American Clinical Solutions LLC,First Lien,Pharmaceuticals & Biotechnology,7.00%,,N/A,7.00%,2022-12-31,,3500,3419,,,,,,CION,2020-11-16
American Clinical Solutions LLC,First Lien,Pharmaceuticals & Biotechnology,7.00%,,N/A,7.00%,2020-10-13,,250,250,,,,,,CION,2020-11-16
American Consolidated Natural Resources Inc.,First Lien,Metals & Mining,17.00%,,LIBOR,1600,2025-09-16,,774,539,,,,,,CION,2020-11-16
American Media LLC,First Lien,Media & Entertainment,9.25%,,LIBOR,775,2023-12-31,,12952,12724,,,,,,CION,2020-11-16
American Media LLC,First Lien,Media & Entertainment,9.25%,,LIBOR,775,2023-12-31,,1702,1668,,,,,,CION,2020-11-16
American Teleconferencing Services Ltd.,First Lien,Telecommunications,7.50%,,LIBOR,650,2021-12-08,,19522,18735,,,,,,CION,2020-11-16
Analogic Corp.,First Lien,Pharmaceuticals & Biotechnology,6.25%,,LIBOR,525,2024-06-21,,4963,4894,,,,,,CION,2020-11-16
Anthem Sports & Entertainment Inc.,First Lien,Media & Entertainment,10.50%,,LIBOR,950,2024-09-09,,11173,11038,,,,,,CION,2020-11-16
