company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Cruz Bay Publishing,Revolver,Media & Entertainment,3.00%,,N/A,3.00%,,2019-06-06,2267,2267,2267,8.50,,,,BCSF,2019-08-07
Learfield Communications LLC,Second Lien,Media & Entertainment,7.25%,,N/A,7.25%,,2024-12-02,4050,4016,4050,9.78,,,,BCSF,2019-08-07
Micro Holding Corp.,First Lien,Media & Entertainment,3.75%,,N/A,3.75%,,2024-09-13,21931,21868,20945,6.25,,,,BCSF,2019-08-07
Efficient Collaborative Retail Marketing Company LLC,Revolver,Business Services,,,N/A,,,,,,,,,,,BCSF,2019-08-07
Getty Images Inc.,First Lien,Media & Entertainment,3.50%,,N/A,3.50%,,2019-10-18,19947,19744,19420,6.02,,,,BCSF,2019-08-07
International Entertainment Investments Ltd.,First Lien,Media & Entertainment,4.75%,,LIBOR,4.75%,,2023-05-31,8686,10620,11071,5.65,,,,BCSF,2019-08-07
GI Chill Acquisition LLC,First Lien,Business Services,6.32%,,N/A,4.00%,,2025-08-06,11895,11858,11895,9.78,,,,BCSF,2019-08-07
Surrey Bidco Ltd.,First Lien,Business Services,6.80%,,LIBOR,6.00%,,2026-05-11,5000,6127,6158,5.65,,,,BCSF,2019-08-07
The Knot Worldwide Inc.,Second Lien,Business Services,10.65%,,N/A,8.25%,,2026-12-21,6187,6130,6179,5.65,,,,BCSF,2019-08-07
The Knot Worldwide Inc.,First Lien,Business Services,6.90%,,N/A,4.50%,,2025-12-19,15389,15428,15446,5.65,,,,BCSF,2019-08-07
Trafalgar Bidco Ltd.,First Lien,Business Services,5.72%,,LIBOR,5.00%,,2024-09-11,6011,7712,7441,5.65,,,,BCSF,2019-08-07
Conterra Ultra Broadband Holdings Inc.,First Lien,Telecommunications,6.94%,,N/A,4.50%,,2026-04-30,6483,6451,6507,2.1,,,,BCSF,2019-08-07
Horizon Telcom Inc.,Delayed Draw,Telecommunications,6.91%,,N/A,4.50%,,2023-06-15,250,232,233,2.1,,,,BCSF,2019-08-07
Horizon Telcom Inc.,Revolver,Telecommunications,,,,6/15/2023,,,,,,,,,,BCSF,2019-08-07
Horizon Telcom Inc.,First Lien,Telecommunications,6.94%,,N/A,4.50%,,2023-06-15,13799,13628,13661,2.1,,,,BCSF,2019-08-07
