company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Healthcomp Holding Company LLC,co_76ed77b0c1e4,First Lien,,10.42%,,SOFR,5.5%,,,,108295,106557,108056,2.58%,106557,,,,,,BXSL,2023-05-10
Jayhawk Buyer LLC,co_beff8bbb2a29,First Lien,,10.16%,,SOFR,5%,,,,143020,140958,141589,3.38%,140958,,,,,,BXSL,2023-05-10
Jayhawk Buyer LLC,co_beff8bbb2a29,First Lien,,9.73%,,SOFR,5%,,,,11855,11688,11737,0.28%,11688,,,,,,BXSL,2023-05-10
Navigator Acquiror Inc.,co_3dfe0be08645,First Lien,,10.61%,5.33%,SOFR,5.75%,,,,187660,186396,185783,4.43%,186396,,,,,,BXSL,2023-05-10
Navigator Acquiror Inc.,co_3dfe0be08645,First Lien,,10.33%,,SOFR,5.75%,,,,25226,25014,24974,0.6%,25014,,,,,,BXSL,2023-05-10
Odyssey Holding Company LLC,co_75b8c1135e7c,First Lien,,10.7%,,SOFR,5.75%,,,,3634,3599,3634,0.09%,3599,,,,,,BXSL,2023-05-10
Odyssey Holding Company LLC,co_75b8c1135e7c,First Lien,,10.45%,,SOFR,5.75%,,,,13403,13318,13403,0.32%,13318,,,,,,BXSL,2023-05-10
Odyssey Holding Company LLC,co_75b8c1135e7c,First Lien,,10.95%,,SOFR,5.75%,,,,1635,1618,1635,0.04%,1618,,,,,,BXSL,2023-05-10
PPV Intermediate Holdings LLC,co_ceec5b601d72,First Lien,Media & Entertainment,10.88%,,SOFR,5.75%,,,,1906,1873,1885,0.04%,1873,,,,,,BXSL,2023-05-10
Smile Doctors LLC,co_54cc4c84644e,First Lien,,10.75%,,SOFR,5.75%,,,,10912,10733,10694,0.26%,10733,,,,,,BXSL,2023-05-10
Smile Doctors LLC,co_54cc4c84644e,First Lien,,11.39%,,SOFR,5.39%,,,,1095,1076,1071,0.03%,1076,,,,,,BXSL,2023-05-10
Snoopy Bidco Inc.,co_0dc8b7fca2dc,First Lien,,10.96%,,SOFR,6%,,,,304214,299228,290287,6.93%,299228,,,,,,BXSL,2023-05-10
SpecialtyCare Inc.,co_9f4d1348dc1c,First Lien,,10.5%,,SOFR,5.75%,,,,12182,11890,11393,0.27%,11890,,,,,,BXSL,2023-05-10
Stepping Stones Healthcare Services LLC,co_ef6f838d442b,First Lien,Healthcare,10.91%,,SOFR,5.75%,,,,432,423,416,0.01%,423,,,,,,BXSL,2023-05-10
Stepping Stones Healthcare Services LLC,co_ef6f838d442b,First Lien,Healthcare,12.75%,,SOFR,4.75%,,,,238,232,226,0.01%,232,,,,,,BXSL,2023-05-10
Stepping Stones Healthcare Services LLC,co_ef6f838d442b,First Lien,Healthcare,10.91%,,SOFR,5.75%,,,,2166,2130,2101,0.05%,2130,,,,,,BXSL,2023-05-10
The Fertility Partners Inc.,co_8fc49f0b3b2c,First Lien,Healthcare,10.74%,,SOFR,5.75%,,,,313,234,213,0.01%,234,,,,,,BXSL,2023-05-10
The Fertility Partners Inc.,co_8fc49f0b3b2c,First Lien,Healthcare,10.76%,,SOFR,5.75%,,,,4959,3828,3518,0.08%,3828,,,,,,BXSL,2023-05-10
The Fertility Partners Inc.,co_8fc49f0b3b2c,First Lien,Healthcare,10.66%,,SOFR,5.75%,,,,278,270,261,0.01%,270,,,,,,BXSL,2023-05-10
The Fertility Partners Inc.,co_8fc49f0b3b2c,First Lien,Healthcare,10.59%,,SOFR,5.75%,,,,4963,4881,4764,0.11%,4881,,,,,,BXSL,2023-05-10
The GI Alliance Management LLC,co_3152b754439d,First Lien,Business Services,11.08%,,SOFR,6.25%,,,,4097,3985,4056,0.1%,3985,,,,,,BXSL,2023-05-10
The GI Alliance Management LLC,co_3152b754439d,First Lien,Business Services,11.25%,,SOFR,6.25%,,,,883,859,874,0.02%,859,,,,,,BXSL,2023-05-10
UMP Holdings LLC,co_b9f99ac9ad53,First Lien,,10.18%,,SOFR,5.5%,,,,1148,1121,1100,0.03%,1121,,,,,,BXSL,2023-05-10
UMP Holdings LLC,co_b9f99ac9ad53,First Lien,,9.66%,,SOFR,5%,,,,1104,1084,1065,0.03%,1084,,,,,,BXSL,2023-05-10
Unified Physician Management LLC,co_7cdd96c746d0,First Lien,Healthcare,10.06%,,SOFR,5.25%,,,,2084,2084,2084,0.05%,2084,,,,,,BXSL,2023-05-10
US Oral Surgery Management Holdco LLC,co_a6e9354fd2fe,First Lien,Healthcare,10.91%,,SOFR,6%,,,,31780,31239,30117,0.72%,31239,,,,,,BXSL,2023-05-10
US Oral Surgery Management Holdco LLC,co_a6e9354fd2fe,First Lien,Healthcare,11.16%,,SOFR,6%,,,,13541,13390,12897,0.31%,13390,,,,,,BXSL,2023-05-10
