company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
AP Centric,Common Equity,Automotive,,,,,,,927,927,927437,1.49,,,,CCAP,2018-05-11
Alion Science and Technology Corp.,Common Equity,Other,,,,,,,535714,535714,535714,0.86,,,,CCAP,2018-05-11
MHS Acquisition Holdings LLC,Common Equity,Industrial Services,,,,,,,913,913,912639,1.47,,,,CCAP,2018-05-11
TecoStar Holdings Inc.,Common Equity,Industrial Services,,,,,,,500000,500000,500000,0.8,,,,CCAP,2018-05-11
Universal Services Equity Investments,Common Equity,Industrial Services,,,,,,,1000000,1000000,1000000,1.6,,,,CCAP,2018-05-11
Paris Presents Inc.,First Lien,Consumer Products,,,,,,2020-12-01,,1696531,1684830,,,,,CCAP,2018-05-11
Paris Presents Inc.,Second Lien,Consumer Products,,,,,,2021-12-01,,504468,496648,,,,,CCAP,2018-05-11
Tranzonic,First Lien,Consumer Products,,,,,,2023-03-01,,12733,7248,,,,,CCAP,2018-05-11
Integro Parent Inc.,First Lien,Insurance,,,,,,2022-10-01,,454633,448471,,,,,CCAP,2018-05-11
Integro Parent Inc.,Second Lien,Insurance,,,,,,2023-10-01,,2408451,2368411,,,,,CCAP,2018-05-11
Emerald Performance Materials LLC,First Lien,Other,,,,,,2021-08-01,,966072,968600,,,,,CCAP,2018-05-11
IBC Capital Ltd.,First Lien,Other,,,,,,2021-09-01,,826566,818677,,,,,CCAP,2018-05-11
Acosta Holdco Inc.,First Lien,Media & Entertainment,,,,,,2021-09-01,,972866,973484,,,,,CCAP,2018-05-11
Tribune Media Company,First Lien,Media & Entertainment,,,,,,2020-12-01,,155650,156074,,,,,CCAP,2018-05-11
Vivid Seats Ltd.,Second Lien,Media & Entertainment,,,,,,2025-06-01,,2500000,2362998,,,,,CCAP,2018-05-11
Trinity Partners LLC,First Lien,Pharmaceuticals & Biotechnology,,,,,,,,,8808,,,,,CCAP,2018-05-11
Trinity Partners LLC,First Lien,Pharmaceuticals & Biotechnology,,,,,,2023-02-01,,1600000,1568587,,,,,CCAP,2018-05-11
DTZ U.S. Borrower LLC,Second Lien,Real Estate,,,,,,2022-11-01,,425532,420818,,,,,CCAP,2018-05-11
Petco Animal Supplies Inc.,First Lien,Retail,,,,,,2023-01-01,,163333,161069,,,,,CCAP,2018-05-11
MHS Acquisition Holdings LLC,Unsecured Debt,Other,13.50,,,,,2026-03-01,,,,751501,739299,,,CCAP,2018-05-11
SavATree LLC,First Lien,Other,9.00,,N/A,425,2022-06-01,,,,3674375,3614424,,,,CCAP,2018-05-11
TecoStar Holdings Inc.,Second Lien,Other,10.28,,N/A,850,2024-11-01,,,,5000000,4885858,,,,CCAP,2018-05-11
USAGM HoldCo LLC,Second Lien,Other,10.27,,N/A,850,2023-07-01,,,,10000000,9700005,,,,CCAP,2018-05-11
Valet Waste Holdings Inc.,First Lien,Other,8.14,,N/A,625,2021-09-01,,,,4778533,4733028,,,,CCAP,2018-05-11
Vencore Inc.,First Lien,Other,6.63,,N/A,475,2019-11-01,,,,480686,480964,,,,CCAP,2018-05-11
William Morris Endeavor Entertainment LLC,Second Lien,Other,9.13,,N/A,725,2022-05-01,,,,166667,163884,,,,CCAP,2018-05-11
Xcentric Mold and Engineering Acquisition Company LLC,First Lien,Other,7.19,,N/A,550,2022-01-01,,,,4999500,4921352,,,,CCAP,2018-05-11
C.F. Stinson LLC,First Lien,Other,8.12,,N/A,600,2021-06-01,,,,3000000,2958482,,,,CCAP,2018-05-11
Catapult Learning LLC,First Lien,Other,8.27,,N/A,650,2020-07-01,,,,4868421,4843509,,,,CCAP,2018-05-11
Counsel On Call LLC,First Lien,Other,7.38,,N/A,550,2022-09-01,,,,1194000,1182634,,,,CCAP,2018-05-11
New Mountain Learning,First Lien,Other,8.65,,N/A,550,2024-03-01,,,,1850000,1813208,,,,CCAP,2018-05-11
NS Intermediate Holdings LLC,First Lien,Other,7.38,,N/A,550,2021-09-01,,,,2430276,2399162,,,,CCAP,2018-05-11
Oncourse Learning Corp.,First Lien,Other,8.79,,N/A,650,2021-09-01,,,,13157514,13010628,,,,CCAP,2018-05-11
SkillSoft Corp.,First Lien,Other,6.63,,N/A,475,2021-04-01,,,,969713,958483,,,,CCAP,2018-05-11
Teaching Company LLC,First Lien,Other,6.63,,N/A,475,2023-02-01,,,,4950000,4908314,,,,CCAP,2018-05-11
United Language Group Inc.,First Lien,Other,6.87,,N/A,500,2021-12-01,,,,60000,52152,,,,CCAP,2018-05-11
PowerTeam Services LLC,First Lien,Other,,,,,,,,,975408,974174,,,,CCAP,2018-05-11
SavATree LLC,First Lien,Other,,,,,,,,,3683625,3620467,,,,CCAP,2018-05-11
SavATree LLC,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
TecoStar Holdings Inc.,Second Lien,Other,,,,,,,,,5000000,4882850,,,,CCAP,2018-05-11
USAGM HoldCo LLC,Second Lien,Other,,,,,,,,,10000000,9689631,,,,CCAP,2018-05-11
Valet Waste Holdings Inc.,First Lien,Other,,,,,,,,,4790761,4742306,,,,CCAP,2018-05-11
Valet Waste Holdings Inc.,First Lien,Other,,,,,,,,,,,,,,CCAP,2018-05-11
Vencore Inc.,First Lien,Other,,,,,,,,,481973,482292,,,,CCAP,2018-05-11
William Morris Endeavor Entertainment LLC,Second Lien,Other,,,,,,,,,166667,163744,,,,CCAP,2018-05-11
