company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Control Investments - 3.8% of net assets,co_6c4df61b1a43,Other,Financial Services,,,,,,,,,,,3.8%,,,,,,,RAND,2025-03-10
LIABILITIES IN EXCESS OF OTHER ASSETS,co_bbd3cffede65,Other,,,,,,,,,,,,-8.4%,,,,,,,RAND,2025-03-10
Investments NET ASSETS - 100%,co_ddb04c5af604,Other,Financial Services,,,,,,,,,,,1%,,,,,,,RAND,2025-03-10
Carolina Skiff LLC,co_2f37d97386c8,Other,,,,,,,,,,,1208,,,,,,,,RAND,2025-03-10
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,,,,,,,,,,3380,,,,,,,,RAND,2025-03-10
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,,,,,,,,,,47,,,,,,,,RAND,2025-03-10
FCM Industries Holdco LLC,co_2709ecc477d5,Other,,,,,,,,,,,3380,,,,,,,,RAND,2025-03-10
Inter-National Electronic Alloys LLC,co_710303987285,Other Equity,Software & Technology,,,,,,,,,,1012,,,,,,75.3,,RAND,2025-03-10
Knoa Software Inc.,co_62305eb71d79,Preferred Equity,Software & Technology,,,,,,,,,,1229,,,,,,1876922,,RAND,2025-03-10
Knoa Software Inc.,co_62305eb71d79,Other,Software & Technology,,,,,,,,,,1229,,,,,,,,RAND,2025-03-10
Mezmeriz Inc.,co_8563e713093d,Preferred Equity,,,,,,,,,,,743,,,,,,1554565,,RAND,2025-03-10
Mobile RN Holdings LLC,co_5e3b18176e3c,Common Equity,,,,,,,,,,,375,,,,,,6375,,RAND,2025-03-10
Mobile RN Holdings LLC,co_5e3b18176e3c,Other,,,,,,,,,,,2881,,,,,,,,RAND,2025-03-10
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other,,,,,,,,,,,7923,,,,,,,,RAND,2025-03-10
New investments Mattison Avenue Holdings LLC,co_4c217dfb1af1,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
New investments Mountain Regional Equipment Solutions,co_cf6609e0d974,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
New investments Mobile RN Holdings LLC,co_2429eff4d451,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
New investments Seybert’s Billiards Corp.,co_79d2b64e8d13,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
New investments ITA Acquisition LLC,co_0093e5f5b698,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
New investments BMP Food Service Supply Holdco LLC,co_15203395977e,Other,Food & Beverage,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Caitec,co_c41033a8e724,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments ITA Acquisition,co_758cbcb93500,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Filterworks Acquisition USA,co_212d69ca3670,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments BMP Swanson Holdco,co_f677cec0ea45,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments,co_c41033a8e724,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Highland All About People Holdings,co_f302875f6f50,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Mattison Avenue Holdings,co_0ea27c5cd26d,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Pressure Pro,co_f161b1ca76bd,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments GoNoodle,co_8afa83fac87e,Other Equity,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Other changes to investments Mountain Regional Equipment Solutions OID amortization,co_ace3340ecab1,Other,,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Tilson Technology Management Inc.,co_ab06bab49a88,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated DSD Operating LLC,co_e8514fedbe1d,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated BMP Food Service Supply Holdco LLC,co_bd2f23db3c33,Other,Food & Beverage,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated ACV Auctions Inc.,co_4424a8ead5cc,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Filterworks Acquisition USA LLC,co_df810d0da208,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Ares Capital Corp.,co_8886730adc33,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Barings BDC Inc.,co_4424a8ead5cc,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Mezmeriz Inc.,co_0a4da5660dc7,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated FS KKR Capital Corp.,co_8886730adc33,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated PennantPark Investment Corp.,co_ee19ca28c320,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Carlyle Secured Lending Inc.,co_88c7bb4dd4fd,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Knoa Software Inc.,co_ebee92c4d45b,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Pressure Pro Inc.,co_d3244d7c2835,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Mattison Avenue Holdings LLC,co_9fb8d2b5abb0,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated Nailbiter Inc.,co_a6e8094e1ba6,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Investments repaid sold or liquidated SciAps Inc.,co_0a4da5660dc7,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Net change in investments at cost and total realized gain,co_a40777ebb082,Other,Financial Services,,,,,,,,,,,,,,,,,,RAND,2025-03-10
Caitec Inc.,co_e7ed3d437c5a,Subordinated Debt,,12%,2%,,,,2020-11-06,2026-06-01,1750,2317,2317,7.1%,2317,,,,,,RAND,2025-05-05
Caitec Inc.,co_e7ed3d437c5a,Preferred Equity,,,,,,,2023-12-28,,,36,,,36,,,,36261,,RAND,2025-05-05
Caitec,co_e7ed3d437c5a,Other Equity,,,,,,,2020-11-06,,,150,,,150,,,,150,,RAND,2025-05-05
Caitec Inc.,co_e7ed3d437c5a,Other,,,,,,,,,,5006,4633,,5006,,,,,,RAND,2025-05-05
