company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment
Northeast Contracting Company LLC,First Lien Senior Secured,Services: Business,,10.76%,SF,6.26,2024-08-16,2029-08-16,1496,,1468,,,,
Northeast Contracting Company LLC (Revolver),First Lien Senior Secured,Services: Business,,10.76%,SF,6.26,2024-08-16,2029-08-16,318,,,,,,
Prototek LLC,First Lien Senior Secured,Services: Business,7.90%,5.00%,SF,8.35,2022-12-08,2027-12-08,2468,,2391,,,,
Prototek LLC (Revolver),First Lien Senior Secured,Services: Business,7.90%,5.00%,SF,8.35,2022-12-08,2027-12-08,288,,,,,,
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-03-01,2027-09-30,1832,,1832,,,,
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-06-17,2027-09-30,5902,,5902,,,,
Security Services Acquisition Sub Corp,First Lien Senior Secured,Services: Business,,10.19%,SF,5.85,2024-06-17,2027-09-30,1810,,1810,,,,
Vhagar Purchaser LLC,First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,3000,,2929,,,,
Vhagar Purchaser LLC (Delayed Draw),First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,667,,150,,,,
Vhagar Purchaser LLC (Revolver),First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,333,,,,,,
Express Wash Acquisition Company LLC,First Lien Senior Secured,Services: Consumer,,11.35%,SF,6.76,2022-07-14,2028-07-14,7067,,7039,,,,
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media: Broadcasting & Subscription,,10.19%,SF,8.26,2024-02-15,2028-01-31,304,304,304,,551,,
Chesscom LLC,First Lien Senior Secured,Media: Diversified & Production,,10.10%,SF,6.10,2021-12-31,2027-12-31,5405,5358,5358,,,,
Chesscom LLC (Revolver),First Lien Senior Secured,Media: Diversified & Production,,10.10%,SF,6.10,2021-12-31,2027-12-31,652,,,,,,
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2019-02-28,2026-05-29,4333,4333,4333,,,,
