company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Vhagar Purchaser LLC (Revolver),First Lien Senior Secured,Services: Business,,10.59%,SF,6.00,2023-06-09,2029-06-11,333,,,,,,,MRCC,2025-11-05.BEFORE
Express Wash Acquisition Company LLC,First Lien Senior Secured,Services: Consumer,,11.35%,SF,6.76,2022-07-14,2028-07-14,7067,,7039,,,,,MRCC,2025-11-05.BEFORE
Vice Acquisition Holdco LLC,First Lien Senior Secured,Media: Broadcasting & Subscription,,10.19%,SF,8.26,2024-02-15,2028-01-31,304,304,304,,551,,,MRCC,2025-11-05.BEFORE
Chesscom LLC,First Lien Senior Secured,Media: Diversified & Production,,10.10%,SF,6.10,2021-12-31,2027-12-31,5405,5358,5358,,,,,MRCC,2025-11-05.BEFORE
Chesscom LLC (Revolver),First Lien Senior Secured,Media: Diversified & Production,,10.10%,SF,6.10,2021-12-31,2027-12-31,652,,,,,,,MRCC,2025-11-05.BEFORE
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2019-02-28,2026-05-29,4333,4333,4333,,,,,MRCC,2025-11-05.BEFORE
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2022-09-27,2026-05-29,1364,1364,1364,,,,,MRCC,2025-11-05.BEFORE
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2019-02-28,2026-05-29,65,65,65,,,,,MRCC,2025-11-05.BEFORE
Crownpeak Technology Inc,First Lien Senior Secured,Media: Diversified & Production,5.30%,6.75%,SF,7.75,2022-09-27,2026-05-29,3611,3611,3611,,,,,MRCC,2025-11-05.BEFORE
Crownpeak Technology Inc (Revolver),First Lien Senior Secured,Media: Diversified & Production,,11.05%,SF,6.75,2019-02-28,2026-05-29,500,500,500,,,,,MRCC,2025-11-05.BEFORE
Sports Operating Holdings II LLC,First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,2910,2875,2875,,,,,MRCC,2025-11-05.BEFORE
Sports Operating Holdings II LLC,First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,2373,2373,2373,,,,,MRCC,2025-11-05.BEFORE
Sports Operating Holdings II LLC (Revolver),First Lien Senior Secured,Media: Diversified & Production,,10.01%,SF,5.85,2022-11-03,2027-11-03,1038,208,208,,,,,MRCC,2025-11-05.BEFORE
V10 Entertainment Inc,First Lien Senior Secured,Media: Diversified & Production,,11.39%,SF,7.10,2023-01-12,2028-01-12,3219,3168,3168,,,,,MRCC,2025-11-05.BEFORE
V10 Entertainment Inc (Revolver),First Lien Senior Secured,Media: Diversified & Production,,11.38%,SF,7.10,2023-01-12,2028-01-12,458,73,73,,,,,MRCC,2025-11-05.BEFORE
BLST Operating Company LLC,First Lien Senior Secured,Retail,1.00%,10.89%,SF,7.50,2020-08-28,2026-01-31,798,570,570,,230,,,MRCC,2025-11-05.BEFORE
Aras Corporation,First Lien Senior Secured,Services: Business,,9.00%,SF,5.00,2021-04-13,2029-04-13,2427,2431,2431,,,,,MRCC,2025-11-05.BEFORE
Burroughs Inc,First Lien Senior Secured,Services: Business,8.88%,1.00%,SF,8.60,2017-12-22,2029-12-22,303,303,303,,,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman GP LLC (fka Arcstor Midco LLC) (59211 Class A common units),Common Equity,High Tech Industries,,,,,,2024-01-02,,,,,,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP (fka Arcstor Midco LLC) (59211 Class A common units),Common Equity,High Tech Industries,,,,,,2021-03-16,,,,4119,4119,,,MRCC,2025-11-05.BEFORE
Arcserve Cayman Opco LP (fka Arcstor Midco LLC) (110294 Class B common units),Common Equity,High Tech Industries,,,,,,2024-01-02,,,,,,,,MRCC,2025-11-05.BEFORE
Douglas Holdings Inc (57588 Class A common units),Common Equity,High Tech Industries,,,,,,2024-08-27,,,,58,58,,,MRCC,2025-11-05.BEFORE
Drawbridge Partners LLC (130433 Class A-1 units),Common Equity,High Tech Industries,,,,,,2022-09-01,,,,130,130,,,MRCC,2025-11-05.BEFORE
Planful Inc (473082 Class A units),Preferred Equity,High Tech Industries,,8.00%,,n/a,2018-12-28,,,473,473,,,,,MRCC,2025-11-05.BEFORE
Planful Inc (35791 Class B units),Common Equity,High Tech Industries,,,,,,2023-05-03,,,,,,,,MRCC,2025-11-05.BEFORE
Recorded Future Inc (80486 Class A units),Common Equity,High Tech Industries,,,,,,2019-07-03,,,,49,49,,,MRCC,2025-11-05.BEFORE
Sparq Holdings Inc (300000 common units),Common Equity,High Tech Industries,,,,,,2023-06-15,,,,300,300,,,MRCC,2025-11-05.BEFORE
Equine Network LLC (108 Class A units),Common Equity,Hotels Gaming & Leisure,,,,,,2020-12-31,,,,111,111,,,MRCC,2025-11-05.BEFORE
