company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
SciAps Inc.,co_5946973dd3f7,Subordinated Debt,,12%,,,,,,,2090,,2090,,,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,First Lien,,12%,2%,,,,,2026-01-19,4139,,4252,,,,,,,,RAND,2023-11-06
Non-Control/Non-Affiliate Investments - Net assets,co_14e5779729a7,Other,Financial Services,,,,,,,,,,,31.8%,,,,,,,RAND,2023-11-06
Affiliate Investments – Net assets,co_8332bfa03f20,Other,Financial Services,,,,,,,,,,,83.3%,,,,,,,RAND,2023-11-06
Control Investments - 6.6% of net assets,co_6c4df61b1a43,Other,Financial Services,,,,,,,,,,,6.7%,,,,,,,RAND,2023-11-06
LIABILITIES IN EXCESS OF OTHER ASSETS,co_bbd3cffede65,Other,,,,,,,,,,,,-21.7%,,,,,,,RAND,2023-11-06
Investments NET ASSETS - 100%,co_ddb04c5af604,Other,Financial Services,,,,,,,,,,,1%,,,,,,,RAND,2023-11-06
Carolina Skiff LLC,co_2f37d97386c8,Other,,,,,,,,,,,1957,,,,,,,,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,First Lien,,,10%,,,,,2033-07-31,420,,427,,,,,,,,RAND,2023-11-06
FCM Industries Holdco LLC,co_2709ecc477d5,Other,,,,,,,,,,,3807,,,,,,,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other Equity,Software & Technology,,,,,,,,,,1012,,,,,,75.3,,RAND,2023-11-06
Inter-National Electronic Alloys LLC,co_710303987285,Other,Software & Technology,,,,,,,,,,4333,,,,,,,,RAND,2023-11-06
Microcision LLC,co_6045cb4ddad0,Other,,,,,,,,,,,,,,,,,,,RAND,2023-11-06
Seybert’s Billiards Corp.,co_d82b00c7cd92,Other,,,,,,,,,,,5963,,,,,,,,RAND,2023-11-06
