company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Trafera,co_4f9bb7e2c386,First Lien,Technology Hardware,8.00%,,LIBOR (Q),7.00%,2020-09-30,2025-09-30,9975,9838,9975,,9838,,,CSWC,2021-11-02
Broad Sky Networks,co_728623ba6fd8,Revolver,Telecommunications,8.50%,,LIBOR (Q),7.50%,2020-12-11,2025-12-11,200,158,200,,158,,,CSWC,2021-11-02
Broad Sky Networks,co_728623ba6fd8,First Lien,Telecommunications,8.50%,,LIBOR (Q),7.50%,2020-12-11,2025-12-11,14925,14666,14925,,14666,,,CSWC,2021-11-02
Broad Sky Networks,co_728623ba6fd8,Preferred Equity,Telecommunications,,,,2020-12-11,,,1131,1132,,,,,,CSWC,2021-11-02
California Pizza Kitchen,co_ca16bd5ac856,Common Equity,Food & Beverage,,,,2020-11-23,,,1317,2857,,,,,,CSWC,2021-11-02
Camin Cargo Control,co_3d22df6caf4c,First Lien,Energy Services,7.50%,,LIBOR (Q),6.50%,2021-06-02,2026-06-04,5985,5928,5925,,5928,,,CSWC,2021-11-02
Capital Pawn Holdings,co_f12d6cb8cf01,First Lien,Consumer Products,8.25%,,LIBOR (Q),7.25%,2017-12-21,2023-07-08,8854,8843,8854,,8843,,,CSWC,2021-11-02
Chemistry Rx Holdings,co_c90093e91204,First Lien,Chemicals,7.50%,,LIBOR (Q),6.50%,2021-03-15,2026-03-13,7116,6987,7116,,6987,,,CSWC,2021-11-02
CityVet,co_e425b7653e53,Delayed Draw,Healthcare Services,8.50%,,LIBOR (Q),7.50%,2021-03-05,2026-03-05,8000,7823,8000,,7823,,,CSWC,2021-11-02
CityVet,co_e425b7653e53,Common Equity,Healthcare Services,,,,2021-03-05,,,500,802,,,,,,CSWC,2021-11-02
ADS Tactical,co_c1747580e7a9,First Lien,Aerospace & Defense,,,LIBOR,5.75%,,2026-03-19,6731,6596,6697,,6596,,,CSWC,2021-11-02
ATX Canada Acquisitionco Inc,co_a2fdec78895c,First Lien,Technology Hardware,,1.50%,LIBOR,6.25%,,2023-12-31,4464,4462,4084,,4462,,,CSWC,2021-11-02
California Pizza Kitchen Inc,co_ca16bd5ac856,First Lien,Food & Beverage,,,LIBOR,10.00%,,2024-11-23,937,913,936,,913,,,CSWC,2021-11-02
California Pizza Kitchen Inc,co_ca16bd5ac856,First Lien,Food & Beverage,1.00%,,LIBOR,11.00%,,2024-11-23,1039,1035,1033,,1035,,,CSWC,2021-11-02
CALIFORNIA PIZZA KITCHEN INC,co_ca16bd5ac856,First Lien,Food & Beverage,11.50%,,LIBOR (Q),10.00%,2020-11-23,2024-11-23,669,652,668,,652,,,CSWC,2021-11-02
CALIFORNIA PIZZA KITCHEN INC,co_ca16bd5ac856,First Lien,Food & Beverage,1.00%,12.50%,LIBOR (Q),11.00%,2020-11-23,2024-11-23,741,739,737,,739,,,CSWC,2021-11-02
California Pizza Kitchen Inc,co_ca16bd5ac856,Second Lien,Food & Beverage,1.00%,,LIBOR,12.50%,,2025-05-23,1141,1141,1115,,1141,,,CSWC,2021-11-02
CALIFORNIA PIZZA KITCHEN INC,co_ca16bd5ac856,Second Lien,Food & Beverage,1.00%,14.00%,LIBOR (Q),12.50%,2020-11-23,2025-05-23,814,814,796,,814,,,CSWC,2021-11-02
