company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Dynamic Communities LLC,co_297b2fa395b4,Common Equity,Business Services,,,,,,,,,0,0,,0,,,,1250000,,MSIF,2023-05-12
Elgin AcquireCo LLC,co_e71f81570245,First Lien,Financial Services,,,SOFR,6%,,,,0,-1,-1,,-1,,,,,,MSIF,2023-05-12
Elgin AcquireCo LLC,co_e71f81570245,First Lien,Financial Services,12%,,,,,,,1227,1194,1194,,1194,,,,,,MSIF,2023-05-12
Elgin AcquireCo LLC,co_e71f81570245,First Lien,Financial Services,9%,,,,,,,415,411,411,,411,,,,,,MSIF,2023-05-12
Elgin AcquireCo LLC,co_e71f81570245,Common Equity,Financial Services,,,,,,,,,497,497,,497,,,,25,,MSIF,2023-05-12
Elgin AcquireCo LLC,co_e71f81570245,Common Equity,Financial Services,,,,,,,,,102,102,,102,,,,61,,MSIF,2023-05-12
Emerald Technologies Acquisition Co Inc.,co_660a01a05410,First Lien,Other,10.97%,,SOFR,6.25%,,,,2438,2397,2316,,2397,,,,,,MSIF,2023-05-12
Engineering Research & Consulting LLC,co_659cee07cb51,First Lien,Industrials,11.43%,,SOFR,6.5%,,,,310,297,308,,297,,,,,,MSIF,2023-05-12
Engineering Research & Consulting LLC,co_659cee07cb51,First Lien,Industrials,11.43%,,SOFR,6.5%,,,,5147,5062,5109,,5062,,,,,,MSIF,2023-05-12
EPIC Y-Grade Services LP,co_8fd84b52e7ff,First Lien,Business Services,10.96%,,SOFR,6%,,,,6805,6746,5963,,6746,,,,,,MSIF,2023-05-12
Event Holdco LLC,co_7f4349b8c901,First Lien,Other,11.73%,,SOFR,7%,,,,308,305,292,,305,,,,,,MSIF,2023-05-12
Event Holdco LLC,co_7f4349b8c901,First Lien,Other,11.73%,,SOFR,7%,,,,3692,3665,3504,,3665,,,,,,MSIF,2023-05-12
Flip Electronics LLC,co_7f58a3e4c63f,First Lien,Software & Technology,12.55%,,SOFR,7.5%,,,,1091,1091,1091,,1091,,,,,,MSIF,2023-05-12
Flip Electronics LLC,co_7f58a3e4c63f,First Lien,Software & Technology,12.55%,,SOFR,7.5%,,,,12327,12078,12327,,12078,,,,,,MSIF,2023-05-12
Hawk Ridge Systems LLC,co_9df21ab1ad00,First Lien,Financial Services,10.75%,,SOFR,6%,,,,1000,998,1000,,998,,,,,,MSIF,2023-05-12
Hawk Ridge Systems LLC,co_9df21ab1ad00,First Lien,Financial Services,10%,,,,,,,8200,8151,8200,,8151,,,,,,MSIF,2023-05-12
Hawk Ridge Systems LLC,co_9df21ab1ad00,Preferred Equity,Financial Services,,,,,,,,,713,4370,,713,,,,56,,MSIF,2023-05-12
Hawk Ridge Systems LLC,co_9df21ab1ad00,Preferred Equity,Financial Services,,,,,,,,,38,230,,38,,,,56,,MSIF,2023-05-12
HDC/HW Intermediate Holdings,co_8ee2fbe09b48,First Lien,Media & Entertainment,14.34%,14.34%,SOFR,9.5%,,,,187,186,182,,186,,,,,,MSIF,2023-05-12
HDC/HW Intermediate Holdings,co_8ee2fbe09b48,First Lien,Media & Entertainment,14.34%,14.34%,SOFR,9.5%,,,,1845,1839,1798,,1839,,,,,,MSIF,2023-05-12
HEADLANDS OP-CO LLC,co_903b9cf4b8a2,First Lien,Other,,,SOFR,6.5%,,,,0,-17,-17,,-17,,,,,,MSIF,2023-05-12
HEADLANDS OP-CO LLC,co_903b9cf4b8a2,First Lien,Other,11.12%,,SOFR,6.5%,,,,4963,4876,4963,,4876,,,,,,MSIF,2023-05-12
Hybrid Promotions LLC,co_6c7c26bdc214,First Lien,Other,13.1%,,SOFR,8.25%,,,,7875,7770,6468,,7770,,,,,,MSIF,2023-05-12
IG Parent Corp.,co_ae4ac7b511f5,First Lien,Other,,,SOFR,5.75%,,,,0,-17,0,,-17,,,,,,MSIF,2023-05-12
IG Parent Corp.,co_ae4ac7b511f5,First Lien,Other,10.59%,,SOFR,5.75%,,,,8275,8175,8187,,8175,,,,,,MSIF,2023-05-12
Implus Footcare LLC,co_70c1fdfce996,First Lien,Consumer & Retail,13.99%,1.5%,SOFR,7.75%,,,,16966,16960,15438,,16960,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,First Lien,Media & Entertainment,6%,6%,,,,,,10902,10443,3556,,10443,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,First Lien,Media & Entertainment,14.95%,14.95%,SOFR,10%,,,,1418,1385,1373,,1385,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,First Lien,Media & Entertainment,14.66%,14.66%,SOFR,10%,,,,1476,1456,1430,,1456,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,Preferred Equity,Media & Entertainment,6%,6%,,,,,,,2470,0,,2470,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,Preferred Equity,Media & Entertainment,,,,,,,,,0,0,,0,,,,,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,Other Equity,Media & Entertainment,,,,,,,,,1192,0,,1192,,,,1191667,,MSIF,2023-05-12
Independent Pet Partners Intermediate Holdings LLC,co_df74ce8ef41f,Warrants,Media & Entertainment,,,,,,,,,0,0,,0,,,,185757,,MSIF,2023-05-12
Industrial Services Acquisition LLC,co_8e35d9bc98ba,First Lien,Industrials,11.5%,,SOFR,6.75%,,,,543,520,543,,520,,,,,,MSIF,2023-05-12
Industrial Services Acquisition LLC,co_8e35d9bc98ba,First Lien,Industrials,11.5%,,SOFR,6.75%,,,,11523,11388,11523,,11388,,,,,,MSIF,2023-05-12
