company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
Helios Service Partners LLC,First Lien,Business Services,11.88%,,SOFR,6.25%,,,,0,-155,-20,-0.01%,-155,826,,,,,MSDL,2023-11-02
Helios Service Partners LLC,First Lien,Business Services,11.88%,,SOFR,6.25%,,,,464,433,433,0.03%,433,,,,,,MSDL,2023-11-02
PDFTron Systems Inc.,First Lien,,10.83%,,SOFR,5.5%,,,,30107,29750,29535,1.99%,29750,,,,,,MSDL,2023-11-02
PDFTron Systems Inc.,First Lien,,10.83%,,SOFR,5.5%,,,,9751,9612,9566,0.65%,9612,,,,,,MSDL,2023-11-02
PDFTron Systems Inc.,First Lien,,10.83%,,SOFR,5.5%,,,,3850,3764,3704,0.25%,3764,,,,,,MSDL,2023-11-02
Procure Acquireco Inc.,First Lien,,10.57%,,SOFR,5%,,,,3899,3837,-26,0.25%,3837,794,,,,,MSDL,2023-11-02
Procure Acquireco Inc.,First Lien,,10.57%,,SOFR,5%,,,,0,-6,-8,0%,-6,238,,,,,MSDL,2023-11-02
Procure Acquireco Inc.,First Lien,,10.57%,,SOFR,5%,,,,0,-3,-8,0%,-3,,,,,,MSDL,2023-11-02
Sherlock Buyer Corp.,First Lien,,11.24%,,SOFR,5.75%,,,,10977,10803,-11,0.74%,10803,3215,,,,,MSDL,2023-11-02
Sherlock Buyer Corp.,First Lien,,11.24%,,SOFR,5.75%,,,,0,-24,-4,0%,-24,1286,,,,,MSDL,2023-11-02
Sherlock Buyer Corp.,First Lien,,11.24%,,SOFR,5.75%,,,,0,-18,-4,0%,-18,,,,,,MSDL,2023-11-02
Surewerx Purchaser III Inc.,First Lien,,12.14%,,SOFR,6.75%,,,,5461,5309,0,0.37%,5309,1128,,,,,MSDL,2023-11-02
Surewerx Purchaser III Inc.,First Lien,,12.14%,,SOFR,6.75%,,,,0,-20,0,0%,-20,454,,,,,MSDL,2023-11-02
Surewerx Purchaser III Inc.,First Lien,,12.14%,,SOFR,6.75%,,,,614,586,614,0.04%,586,,,,,,MSDL,2023-11-02
