company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
"Primary Kids, Inc.",co_1ce5f0749c8f,Warrants,Consumer & Retail,,,,,,,,,,594,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Quip NYC Inc.,co_c670c191758a,Warrants,Consumer & Retail,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Standvast Holdings, LLC",co_9e172c3e3a0e,Warrants,Consumer & Retail,,,,,,,,,,273,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Unagi, Inc.",co_4fbf84510c8e,Warrants,Consumer & Retail,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Updater, Inc.",co_6c83f0ce0165,Warrants,Consumer & Retail,27.0%,,,,,,,,,27,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"CPG Beyond, Inc.",co_70dba1d0039d,Warrants,Software & Technology,,,,,,,,,,300,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Silk, Inc.",co_b439df2ae1a3,Warrants,Software & Technology,,,,,,,,,,128,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Global Worldwide LLC,co_669481267282,Warrants,Media & Entertainment,,,,,,,,,,62,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Rocket Lawyer Inc.,co_30234f16e9f8,Warrants,Media & Entertainment,,,,,,,,,,324,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Skillshare, Inc.",co_63be832021c0,Warrants,Media & Entertainment,,,,,,,,,,817,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Liqid, Inc.",co_7a49c76ce3c0,Warrants,Software & Technology,,,,,,,,,,162,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Halio, Inc.",co_aeacfc719890,Warrants,Business Services,,,,,,,,,,2700,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Avalanche Technology, Inc.",co_d50ed5b1af38,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"BriteCore Holdings, Inc.",co_f4e2ea7ba735,Warrants,Software & Technology,,,,,,,,,,182,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Dropoff, Inc.",co_2537495d24bd,Warrants,Software & Technology,,,,,,,,,,63,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"E La Carte, Inc.",co_f547a24cd95f,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Everstream Holdings, LLC",co_f8f6cde539df,Warrants,Software & Technology,,,,,,,,,,65,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Kodiak Robotics, Inc.",co_0e4b5ebfc7c6,Warrants,Software & Technology,7.0%,,,,,,,,,7,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Lemongrass Holdings, Inc.",co_141a54e87597,Warrants,Software & Technology,,,,,,,,,,138,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Lotame Solutions, Inc.",co_2ef4c971e86c,Warrants,Software & Technology,18.0%,,,,,,,,,42,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Lytics, Inc.",co_6900dba701e2,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Mirantis, Inc.",co_09ae8624385f,Warrants,Software & Technology,,,,,,,,,,255,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Noodle Partners, Inc.",co_342e7981f1b8,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Reputation Institute, Inc.",co_1d7ee10fc28b,Warrants,Software & Technology,,,,,,,,,,94,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Revinate Holdings, Inc.",co_2610e0553921,Warrants,Software & Technology,,,,,,,,,,94,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"SIGNiX, Inc.",co_82138d7ac223,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Slingshot Aerospace, Inc.",co_daf2d98c0286,Warrants,Software & Technology,,,,,,,,,,72,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Supply Network Visibility Holdings LLC,co_3a114282aae8,Warrants,Software & Technology,,,,,,,,,,78,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Topia Mobility, Inc.",co_48f11eb85497,Warrants,Software & Technology,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
Viken Detection Corp.,co_ba8aa4e3854b,Warrants,Software & Technology,,,,,,,,,,212,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"xAd, Inc.",co_67c00664f0ef,Warrants,Software & Technology,8.0%,,,,,,,,,8,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Hound Labs, Inc.",co_100cbf9afb42,Warrants,Diagnostics,,,,,,,,,,,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Parse Biosciences, Inc.",co_33aea7d6014b,Warrants,Diagnostics,,,,,,,,,,70,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Parse Biosciences, Inc.",co_33aea7d6014b,Warrants,Diagnostics,,,,,,,,,,173,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
"Kate Farms, Inc.",co_17e77338baed,Warrants,Healthcare,,,,,,,,,,979,,,,,,,,HRZN,2024-07-30,HRZN,2024-07-30
