company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Spineology Inc,co_b8f044bbdc50,Warrants,Medical Devices & Equipment,,,N/A,,,,2255155,16,28,,16,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,Warrants,Medical Devices & Equipment,,,N/A,,,27139,137,108,,,,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,Warrants,Medical Devices & Equipment,,,N/A,,,45101,37,53,,0.37,,,,HRZN,2025-10-28
New Aerofarms Inc,co_7b4b0f295b05,Warrants,Environmental Services,,,N/A,,,,400000,82,17,,82,,,HRZN,2025-10-28
LiquiGlide Inc,co_3da8cf53ba78,Warrants,Environmental Services,,,N/A,,,,61359,39,25,,39,,,HRZN,2025-10-28
LiquiGlide Inc,co_3da8cf53ba78,Warrants,Environmental Services,,,N/A,,,122717,53,46,,,,,,HRZN,2025-10-28
Soli Organic Inc,co_dc94248a23e5,Warrants,Environmental Services,,,N/A,,,,296,20,19,,20,,,HRZN,2025-10-28
Soli Organic Inc,co_dc94248a23e5,Warrants,Environmental Services,,,N/A,,,,1075,382,10,,382,,,HRZN,2025-10-28
Temperpack Technologies Inc,co_41e3b010a154,Warrants,Environmental Services,,,N/A,,,,49693,178,102,,178,,,HRZN,2025-10-28
Temperpack Technologies Inc,co_41e3b010a154,Warrants,Environmental Services,,,N/A,,,66605,185,29,,,,,,HRZN,2025-10-28
Pivot Bio Inc,co_f89e180060da,Warrants,Energy & Utilities,,,N/A,,,,210418,14,14,,14,,,HRZN,2025-10-28
Pivot Bio Inc,co_f89e180060da,Warrants,Energy & Utilities,,,N/A,,,210418,14,12,,0.14,,,,HRZN,2025-10-28
Axiom Space Holdings Inc,co_2ac57900267c,Warrants,Telecommunications,,,N/A,,,,1991,46,35,,46,,,HRZN,2025-10-28
Axiom Space Holdings Inc,co_2ac57900267c,Warrants,Telecommunications,,,N/A,,,2654,50,31,,0.5,,,,HRZN,2025-10-28
Intelepeer Holdings Inc,co_ce14c81671d8,Warrants,Telecommunications,,,N/A,,,,2936535,138,,,,,,HRZN,2025-10-28
SparkCharge Inc,co_f139a6c37e6b,Warrants,Energy & Utilities,,,N/A,,,2264151,45,31,,0.45,,,,HRZN,2025-10-28
New Aerofarms Inc assignee of Aerofarms Inc,co_7b4b0f295b05,Warrants,Environmental Services,,,N/A,,,800000,88,2,,,,,,HRZN,2025-10-28
