company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
U.S. TelePacific Corp.,co_93defcb80619,First Lien,Financial Services,13.16%,7.25%,SOFR,8.4%,,,,18683,18620,4904,,18620,,,,,,MAIN,2023-05-05
USA DeBusk LLC,co_eef8249783e9,First Lien,Financial Services,10.38%,,SOFR,5.75%,,,,33492,32983,33492,,32983,,,,,,MAIN,2023-05-05
UserZoom Technologies Inc.,co_2caf29dbb20a,First Lien,Financial Services,12.13%,,SOFR,7.5%,,,,4000,3885,3885,,3885,,,,,,MAIN,2023-05-05
Veregy Consolidated Inc.,co_46d628acb720,First Lien,Financial Services,,,SOFR,5.25%,,,,0,-574,-574,,-574,,,,,,MAIN,2023-05-05
Veregy Consolidated Inc.,co_46d628acb720,First Lien,Financial Services,10.83%,,SOFR,6%,,,,17640,17352,15196,,17352,,,,,,MAIN,2023-05-05
Vida Capital Inc.,co_395256597a19,First Lien,Other,10.63%,,SOFR,6%,,,,15101,14978,11137,,14978,,,,,,MAIN,2023-05-05
Vistar Media Inc.,co_7c2b87a868da,Preferred Equity,Media & Entertainment,,,,,,,,,767,2340,,767,,,,70207,,MAIN,2023-05-05
VORTEQ Coil Finishers LLC,co_40f917daf5d5,Common Equity,Other,,,,,,,,,1038,3930,,1038,,,,1038462,,MAIN,2023-05-05
Wahoo Fitness Acquisition LLC.,co_0e6c9d8cba21,First Lien,Healthcare,14.93%,4.75%,SOFR,5.25%,,,,2006,1956,1956,,1956,,,,,,MAIN,2023-05-05
Wahoo Fitness Acquisition LLC.,co_0e6c9d8cba21,First Lien,Healthcare,10.64%,,SOFR,5.75%,,,,14625,14284,6216,,14284,,,,,,MAIN,2023-05-05
Wall Street Prep Inc.,co_001c2426f579,First Lien,Other,,,SOFR,7%,,,,0,-5,-5,,-5,,,,,,MAIN,2023-05-05
Wall Street Prep Inc.,co_001c2426f579,First Lien,Other,11.75%,,SOFR,7%,,,,4208,4151,4124,,4151,,,,,,MAIN,2023-05-05
Wall Street Prep Inc.,co_001c2426f579,Common Equity,Other,,,,,,,,,400,420,,400,,,,400000,,MAIN,2023-05-05
Watterson Brands LLC,co_13695b0d446a,First Lien,Other,11.07%,,SOFR,6.25%,,,,1945,1911,1938,,1911,,,,,,MAIN,2023-05-05
Watterson Brands LLC,co_13695b0d446a,First Lien,Other,10.98%,,SOFR,6%,,,,390,362,388,,362,,,,,,MAIN,2023-05-05
Watterson Brands LLC,co_13695b0d446a,First Lien,Other,10.98%,,SOFR,6.25%,,,,28884,28542,28780,,28542,,,,,,MAIN,2023-05-05
West Star Aviation Acquisition LLC,co_11a74ce558bb,First Lien,Transportation & Logistics,,,SOFR,6%,,,,0,-19,-19,,-19,,,,,,MAIN,2023-05-05
West Star Aviation Acquisition LLC,co_11a74ce558bb,First Lien,Transportation & Logistics,10.79%,,SOFR,6%,,,,10767,10591,10762,,10591,,,,,,MAIN,2023-05-05
West Star Aviation Acquisition LLC,co_11a74ce558bb,Common Equity,Transportation & Logistics,,,,,,,,,1541,2170,,1541,,,,1541400,,MAIN,2023-05-05
Winter Services LLC,co_fe89c7b45929,First Lien,Business Services,,,SOFR,7%,,,,0,-32,0,,-32,,,,,,MAIN,2023-05-05
