company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Bettercloud Inc.,Other Debt,Software,,7.25%,N/A,6.25%,2022-06-30,2028-06-30,29403,,28944,,29403,,,MAIN,2024-11-08
Binswanger Enterprises LLC,Partnership Interest,Packaging,,,,3/10/2017,,,,,,1050000,,,,MAIN,2024-11-08
Bluestem Brands Inc.,Other Debt,Retail,,7.50%,N/A,15.00%,2022-10-19,2025-08-28,1885,,,,,,,MAIN,2024-11-08
Bluestem Brands Inc.,Other Debt,Retail,,8.50%,N/A,12.96%,2020-08-28,2025-08-28,3676,,,,,,,MAIN,2024-11-08
Bluestem Brands Inc.,Common Equity,Retail,,,,,,,,,,,,,,MAIN,2024-11-08
Bluestem Brands Inc.,Warrants,Retail,,,,,2032-10-19,,,,,,1036,,,MAIN,2024-11-08
Bond Brand Loyalty ULC,Other Debt,Marketing & Advertising,,6.00%,N/A,7.00%,2023-05-01,2028-05-01,6405,,,,,,,MAIN,2024-11-08
Bond Brand Loyalty ULC,Preferred Equity,Marketing & Advertising,,,,,,,,,,,,,,MAIN,2024-11-08
Bond Brand Loyalty ULC,Common Equity,Marketing & Advertising,,,,,,,,,,,,,,MAIN,2024-11-08
Brainworks Software LLC,Other Debt,Software,15.25%,7.25%,N/A,7.25%,2014-08-12,2019-07-22,761,,,7817,,,,MAIN,2024-11-08
Brainworks Software LLC,Other Debt,Software,15.25%,7.25%,N/A,7.25%,2014-08-12,2019-07-22,7056,,,7817,,,,MAIN,2024-11-08
Brightwood Capital Fund Investments,Partnership Interest,Investment Vehicles,,,,,,,,,,,,,,MAIN,2024-11-08
Brightwood Capital Fund Investments,Partnership Interest,Investment Vehicles,,,,,,,,,,,,,,MAIN,2024-11-08
Brightwood Capital Fund Investments,Partnership Interest,Investment Vehicles,,,,,,,,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Other Debt,Automotive,13.37%,,N/A,8.00%,2021-12-22,2026-12-22,8424,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Other Debt,Automotive,12.85%,,N/A,8.00%,2021-12-22,2026-12-22,35767,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Other Debt,Automotive,12.85%,,N/A,8.00%,2024-02-01,2026-12-22,3347,,,,,,,MAIN,2024-11-08
JTI Electrical & Mechanical LLC,Common Equity,Automotive,,,,,,2021-12-22,,,,1684,48740,,,MAIN,2024-11-08
KMS LLC,Other Debt,Other,14.50%,,N/A,9.75%,2021-10-04,2026-10-04,1028,,,,,,,MAIN,2024-11-08
KMS LLC,Other Debt,Other,14.50%,,N/A,9.75%,2021-10-04,2026-10-04,7410,,,,,,,MAIN,2024-11-08
