company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Trax Ltd.,co_a558b47cf525,Other,Consumer & Retail,,,N/A,,,2021-06-09,,,7224600,2647017,1.68,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Other,Software & Technology,,,N/A,,,2022-08-17,,,136114,161862,0.10,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Other,Software & Technology,,,N/A,,,2022-08-17,2044-05-14,,985180,1171540,0.74,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Xgroup Holdings Ltd.,co_53490a4597e1,Other,Software & Technology,,,N/A,,,2022-08-17,2044-05-14,,261735,324931,0.21,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
PSQ Holdings Inc.,co_fc0c2fafeb6d,Other,Consumer & Retail,,,N/A,,,2021-04-01,2028-07-19,,771065,1436830,0.91,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Residential Homes for Rent LLC,co_619680a2a20a,Other,Real Estate,,,N/A,,,2020-12-23,,,1500000,1431967,0.91,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Varo Money Inc.,co_e9f0dd0a559f,Other,Financial Services,,,N/A,,,2021-08-11,,,10005548,1347058,0.85,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Skillsoft Corp.,co_621145eadd7e,Other,Education,,,N/A,,,2021-06-08,,,9818428,1176244,0.75,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Commercial Streaming Solutions Inc.,co_5af6fc75593f,Other,Media & Entertainment,,,N/A,,,2021-03-26,,,1004240,1000000,0.63,1000000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Aventine Property Group Inc.,co_344f49ac92a2,Other,Real Estate,,,N/A,,,2019-09-11,,,2580750,962341,0.61,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Forge Global Inc.,co_0fb088c58a0a,Other,Financial Services,,,N/A,,,2011-07-20,,,1978921,950333,0.60,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Stake Trade Inc.,co_5e9ce591f664,Other,Media & Entertainment,,,N/A,,,2023-07-26,,,1002153,862362,0.55,1000000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
EDGE Markets Inc.,co_866acccb3660,Other,Software & Technology,,,N/A,,,2022-05-18,,,501330,500000,0.32,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Rebric Inc.,co_4fb1a277d57b,Other,Software & Technology,,,N/A,,,2021-10-12,,,1002755,157658,0.10,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Kinetiq Holdings LLC,co_737b69c7b5ba,Other,Media & Entertainment,,,N/A,,,2012-03-30,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
