company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
Flink SE,,Consumer & Retail,,,,,,,2022-04-13,,339,48,,339,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Foodology Inc.,,Consumer & Retail,,,,,,,2022-03-25,,116,116,,116,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Frubana Inc.,,Consumer & Retail,,,,,,,2022-09-30,,334,334,,334,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Good Eggs, Inc.",,Consumer & Retail,,,,,,,2021-08-12,,401,6,,401,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Hydrow, Inc.",,Consumer & Retail,,,,,,,2021-02-09,,143,293,,143,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
JOKR S.à r.l.,,Other,,,,,,,2021-10-14,,273,247,,273,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Lower Holding Company,,Other,,,,,,,2022-12-28,,189,26,,189,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mystery Tackle Box, Inc.",,Other,,,,,,,2022-04-29,,69,109,,69,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Nakdcom One World AB,,Other,,,,,,,2022-06-02,,208,48,,208,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Outdoor Voices, Inc.",,Other,,,,,,,2019-02-26,,369,15,,369,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Pair Eyewear, Inc.",,Other,,,,,,,2022-07-12,,5,7,,5,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Project 1920, Inc.",,Other,,,,,,,2022-03-25,,23,23,,23,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Quip NYC, Inc.",,Other,,,,,,,2018-11-26,,455,1020,,455,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Tempo Interactive Inc.,,Other,,,,,,,2021-03-31,,93,14,,93,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"The Black Tux, Inc.",,Other,,,,,,,2021-11-05,,139,460,,139,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Untitled Labs, Inc.",,Other,,,,,,,2022-06-23,,171,,,171,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
VanMoof Global Holding B.V.,,Other,,,,,,,2021-02-01,,145,,,145,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"LovePop, Inc.",,Consumer & Retail,,,,,,,2018-10-23,,168,128,,168,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Savage X, Inc.",,Consumer & Retail,,,,,,,2020-04-07,,471,803,,471,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Sisense, Inc.",,Software & Technology,,,,,,,2021-12-28,,190,465,,190,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"FabFitFun, Inc.",,Consumer & Retail,,,,,,,2017-11-20,,940,463,,940,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Minted, Inc.",,Consumer & Retail,,,,,,,2020-09-30,,516,469,,516,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Outfittery GMBH,,Consumer & Retail,,,,,,,2017-08-10,,1850,1095,,1850,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Rent the Runway, Inc.",,Consumer & Retail,,,,,,,2015-11-25,,213,15,,213,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Stance, Inc.",,Other,,,,,,,2017-03-31,,41,70,,41,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"TFG Holding, Inc.",,Other,,,,,,,2020-11-30,,762,206,,762,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Trendly, Inc.",,Other,,,,,,,2021-05-27,,381,914,,381,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Untuckit LLC,,Other,,,,,,,2018-05-11,,39,57,,39,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Grove Collaborative, Inc.",,Consumer & Retail,,,,,,,2018-04-02,,219,6,,219,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Merama Inc.,,Other,,,,,,,2021-04-28,,406,1502,,406,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Mind Candy, Inc.",,Media & Entertainment,,,,,,,2017-03-24,,922,,,922,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"BlueVine Capital, Inc.",,Financial Services,,,,,,,2017-09-15,,361,909,,361,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Prodigy Investments Ltd.,,Financial Services,,,,,,,2017-12-05,,869,609,,869,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Revolut Ltd.,,Financial Services,,,,,,,2018-04-16,,40,1847,,40,,,,,cost_suspicious_vs_size,TPVG,2023-08-02,TPVG,2023-08-02
WorldRemit Group Ltd.,,Other,,,,,,,2015-12-23,,382,6290,,382,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Synapse Financial Technologies, Inc.",,Financial Services,,,,,,,2022-07-29,,23,23,,23,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Capsule Corp.,,Food & Beverage,,,,,,,2020-01-17,,437,32,,437,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Overtime Sports, Inc.",,Media & Entertainment,,,,,,,2022-05-04,,70,70,,70,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Thrillist Media Group, Inc.",,Media & Entertainment,,,,,,,2014-09-24,,624,1092,,624,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Found Health, Inc.",,Healthcare,,,,,,,2022-03-25,,22,22,,22,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Vial Health Technology, Inc.",,Healthcare,,,,,,,2022-12-14,,33,33,,33,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Curology, Inc.",,Healthcare,,,,,,,2019-05-23,,58,43,,58,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Kalderos, Inc.",,Healthcare,,,,,,,2022-12-27,,167,167,,167,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Thirty Madison, Inc.",,Healthcare,,,,,,,2022-12-30,,445,451,,445,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Tempus Ex Machina, Inc.",,Business Services,,,,,,,2023-05-01,,9,9,,9,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"AirStrip Technologies, Inc.",,Healthcare,,,,,,,2013-10-09,,112,,,112,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Hover Inc.,,Media & Entertainment,,,,,,,2022-09-30,,309,332,,309,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Open Space Labs, Inc.",,Media & Entertainment,,,,,,,2022-11-15,,7,7,,7,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Cohesity, Inc.",,Software & Technology,,,,,,,2020-01-10,,54,106,,54,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Signifyd, Inc.",,Software & Technology,,,,,,,2019-12-19,,132,332,,132,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Corelight, Inc.",,Software & Technology,,,,,,,2022-09-29,,235,235,,235,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Jerry Services, Inc.",,Financial Services,,,,,,,2022-06-13,,169,198,,169,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
Monzo Bank Ltd.,,Financial Services,,,,,,,2021-03-08,,161,443,,161,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
N26 GmbH,,Financial Services,,,,,,,2021-09-14,,324,298,,324,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Upgrade, Inc.",,Financial Services,,,,,,,2019-01-18,,223,4197,,223,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
"Belong Home, Inc.",,Real Estate,,,,,,,2022-02-15,,6,15,,6,,,,,,TPVG,2023-08-02,TPVG,2023-08-02
